player_name,Position,Team Name,Buts (sans les pénaltys),npxG: xG sans les pénaltys,Total des tirs,Passes décisives,xAG: Prévu(s) Buts assistés,npxG + xAG,Actions menant à un tir,Passes tentées,% de passes réussies,Passes progressives,Possessions progressives,Dribbles réussis,Touches (SurfRépOff),Passes progressives reçues,Tacles,Interceptions,Balles contrées,Dégagements,Duel aérien gagnés,Age,Categorie_Clustering,Categorie_Large,Categorie_Age
Eliesse Ben Seghir,LW,Monaco,0.37,0.17,3.22,0.28,0.25,0.41,4.41,46.42,78.4,5.79,5.88,1.56,4.32,10.02,2.39,0.18,1.2,0.28,0.64,19.0,Ailiers,Attaquants,Jeune (< 23 ans)
Lamine Camara,CM,Monaco,0.12,0.07,1.2,0.19,0.13,0.2,2.98,43.9,75.7,3.94,1.0,0.93,0.62,2.13,2.55,1.28,1.51,1.31,0.5,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Maghnes Akliouche,RW,Monaco,0.22,0.23,1.89,0.22,0.19,0.42,4.7,46.82,77.6,5.53,2.94,1.54,4.12,7.02,1.97,0.39,1.1,0.26,0.22,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Soungoutou Magassa,DM,Monaco,0.0,0.03,0.7,0.0,0.01,0.04,1.01,65.74,88.4,6.04,0.5,0.91,0.7,0.81,4.83,1.61,1.21,2.01,1.61,21.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Christian Mawissa,CB,Monaco,0.13,0.07,0.33,0.0,0.03,0.09,1.24,51.28,82.8,2.81,1.77,1.83,0.98,0.98,2.22,2.03,1.9,3.07,1.57,19.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Kassoum Ouattara,LB,Monaco,0.11,0.17,1.22,0.11,0.18,0.33,2.0,46.95,68.5,3.56,4.12,1.22,2.78,8.68,2.45,1.67,1.45,2.23,1.89,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
George Ilenikhena,CF,Monaco,0.81,0.5,2.84,0.0,0.08,0.57,1.72,12.67,68.8,0.91,1.11,0.41,5.37,5.57,0.0,0.0,0.1,0.41,2.53,18.0,Attaquants,Attaquants,Jeune (< 23 ans)
João Neves,DM,Paris S-G,0.0,0.05,1.09,0.29,0.12,0.18,3.09,74.09,88.0,6.81,1.95,1.66,1.49,2.52,3.72,1.32,1.03,1.2,1.2,20.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Warren Zaïre-Emery,CM,Paris S-G,0.13,0.08,0.64,0.13,0.13,0.2,3.36,59.45,92.2,4.47,2.56,0.93,1.41,3.71,2.08,0.67,1.34,1.31,0.54,18.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Bradley Barcola,LW,Paris S-G,0.44,0.39,2.49,0.32,0.26,0.66,4.26,35.29,77.7,3.21,5.98,2.81,7.91,13.57,1.85,0.48,1.65,0.68,0.76,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Lucas Beraldo,CB,Paris S-G,0.05,0.05,0.24,0.0,0.02,0.07,0.82,85.79,90.1,3.73,0.48,0.24,0.48,0.1,2.08,1.35,1.11,2.23,1.55,20.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Nuno Mendes,LB,Paris S-G,0.16,0.06,1.05,0.16,0.12,0.18,2.98,78.72,84.4,7.17,3.38,1.61,1.93,4.51,1.93,1.21,1.29,1.61,0.73,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Désiré Doué,LW,Paris S-G,0.15,0.13,2.2,0.25,0.25,0.38,5.0,43.88,73.7,6.3,4.25,3.35,4.3,10.14,1.8,0.6,1.6,0.35,0.35,19.0,Ailiers,Attaquants,Jeune (< 23 ans)
Lamine Yamal,RW,Barcelona,0.29,0.22,2.7,0.32,0.3,0.52,4.56,44.81,78.4,3.82,5.14,2.98,5.62,13.91,2.35,0.8,1.35,0.23,0.09,17.0,Ailiers,Attaquants,Jeune (< 23 ans)
Pau Cubarsí,CB,Barcelona,0.0,0.01,0.24,0.03,0.05,0.06,1.3,82.85,91.7,4.62,0.65,0.14,0.51,0.1,1.16,0.55,0.85,3.59,1.74,17.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Pedri,CM,Barcelona,0.19,0.13,0.8,0.27,0.2,0.33,3.99,67.35,86.5,7.87,2.24,0.91,1.98,4.33,2.28,0.87,1.6,0.99,0.11,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Alejandro Balde,LB,Barcelona,0.0,0.03,0.52,0.05,0.09,0.12,2.36,50.89,86.4,3.19,4.19,1.41,2.25,8.9,0.84,0.37,0.79,1.1,0.52,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Marc Casado,DM,Barcelona,0.0,0.1,0.91,0.26,0.08,0.17,3.12,68.8,89.8,7.8,1.04,0.26,0.52,2.47,2.6,0.52,0.91,1.95,0.52,21.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Pablo Torre,AM,Barcelona,0.11,0.08,1.34,0.34,0.1,0.18,3.02,55.63,83.7,7.5,2.91,0.78,2.8,5.15,1.12,0.56,1.01,0.78,0.11,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Héctor Fort,RB,Barcelona,0.0,0.0,0.35,0.35,0.14,0.16,1.39,69.36,89.3,3.47,1.39,0.87,0.52,7.63,1.91,0.52,0.35,1.73,0.17,18.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Fermin López,CM,Barcelona,0.49,0.48,3.23,0.05,0.08,0.55,2.8,38.86,83.1,4.71,2.47,1.32,4.17,5.92,2.8,0.33,0.93,0.38,0.6,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Ansu Fati,LW,Barcelona,0.4,0.36,3.91,0.13,0.13,0.51,4.18,39.21,85.2,4.31,2.69,1.21,6.33,9.43,0.81,0.54,1.08,0.4,0.13,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Álex Valle,LB,Barcelona,0.0,0.03,0.71,0.0,0.05,0.09,2.3,58.94,77.0,4.31,2.07,0.89,1.3,3.9,3.07,1.71,1.36,2.66,1.18,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Michael Olise,RW,Bayern Munich,0.74,0.41,3.96,0.4,0.38,0.79,5.54,55.51,77.0,6.28,4.55,2.87,5.74,10.29,1.43,0.59,1.19,0.54,0.54,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Pavlovic,DM,Bayern Munich,0.13,0.06,0.49,0.09,0.05,0.11,2.6,79.03,93.0,8.6,1.03,0.31,0.63,1.34,1.84,0.99,1.12,1.03,0.85,20.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Jamal Musiala,AM,Bayern Munich,0.45,0.39,3.01,0.19,0.32,0.71,5.37,42.3,82.4,5.4,5.11,3.91,6.82,8.57,1.88,0.94,1.13,0.19,0.26,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Mathys Tel,LW,Bayern Munich,0.31,0.28,3.22,0.39,0.22,0.5,3.77,36.0,82.5,2.52,3.93,3.3,6.05,10.45,0.94,0.55,1.02,0.39,1.18,19.0,Ailiers,Attaquants,Jeune (< 23 ans)
Gravenberch,CM,Liverpool,0.09,0.12,1.37,0.0,0.08,0.2,3.0,49.44,86.4,6.69,2.92,1.54,2.23,4.16,2.02,1.5,1.63,0.77,0.73,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Jarell Quansah,CB,Liverpool,0.17,0.07,0.46,0.0,0.01,0.07,1.03,89.25,89.5,4.71,0.98,0.34,0.86,0.23,1.95,1.09,1.32,2.87,3.33,21.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Conor Bradley,RB,Liverpool,0.08,0.09,1.18,0.25,0.13,0.22,2.77,67.0,81.5,3.78,3.78,1.43,4.03,6.8,3.11,1.18,2.1,1.93,1.26,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
